id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
798012669687190751,Condo in Vancouver · ★4.87 · 3 bedrooms · 3 beds · 2 baths,131682011,,Downtown,49.27917523611148,-123.10916672765853,Entire home/apt,173,1,82,2023-12-02,7.34,3,106,82,23-168735
798028138201131568,Rental unit in Vancouver · ★4.81 · 1 bedroom · 2 beds · 1 bath,494499993,,Downtown,49.28062150376186,-123.12295085865419,Entire home/apt,120,1,37,2023-11-24,3.35,1,348,37,23-157421
798604031502890897,Townhouse in Vancouver · ★4.69 · 4 bedrooms · 4 beds · 3.5 baths,74454535,,Victoria-Fraserview,49.219625546154916,-123.07367965718143,Entire home/apt,445,2,13,2023-11-03,2.19,5,83,13,23-200833
798889942621016112,Guesthouse in Vancouver · ★4.79 · 1 bedroom · 1 bed · 1 bath,111858301,,Riley Park,49.24908,-123.09919,Entire home/apt,101,1,58,2023-11-18,5.69,3,298,58,23-156634
800685316347580213,Rental unit in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1 bath,227662329,,Riley Park,49.255786512945726,-123.10526406213285,Entire home/apt,38,3,20,2023-11-08,1.83,134,335,20,22-411926
800799687233801106,Home in Vancouver · ★4.50 · 3 bedrooms · 3 beds · 2.5 baths,227662329,,Marpole,49.207723724351716,-123.11831602659677,Entire home/apt,181,2,22,2023-09-24,2.08,134,342,22,22-187228
800935892830608949,Condo in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,413837910,,West End,49.27861,-123.13073,Entire home/apt,323,1,31,2023-11-14,3.99,2,339,31,23-160399
800970191867596004,Home in Vancouver · ★5.0 · 6 bedrooms · 7 beds · 3 baths,167328182,,Hastings-Sunrise,49.2883,-123.04562,Entire home/apt,490,2,13,2023-08-06,1.4,3,311,13,23-187169
801110086514791175,Home in Vancouver · ★4.97 · 2 bedrooms · 2 beds · 1 bath,31242976,,Grandview-Woodland,49.27752218193026,-123.05715206571274,Entire home/apt,243,1,35,2023-12-03,3.16,1,75,35,23-171957
801578582519247796,Home in Vancouver · ★4.92 · 5 bedrooms · 6 beds · 3 baths,385926147,,Shaughnessy,49.23786765686442,-123.1483505542135,Entire home/apt,550,3,12,2023-10-10,1.44,1,357,12,23-157302
802186546425921012,Home in Vancouver · ★4.55 · 2 bedrooms · 2 beds · 1 bath,168426473,,Riley Park,49.248700792915244,-123.10519754419927,Entire home/apt,205,1,11,2023-10-21,1.64,1,81,11,23-183662
802927388053524873,Home in Vancouver · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,495597904,,Victoria-Fraserview,49.2260025051636,-123.05504422213399,Private room,69,1,43,2023-11-06,4.07,4,52,43,23-171036
803668849105819290,Home in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 bath,495904296,,Kitsilano,49.27448065077774,-123.15127748301755,Entire home/apt,98,1,42,2023-12-05,4.3,1,289,42,23-176243
803684064058425257,Home in Vancouver · ★4.91 · 2 bedrooms · 2 beds · 1 bath,495908408,,Kitsilano,49.27254047732214,-123.1510027395483,Entire home/apt,187,1,58,2023-11-29,5.3,1,278,58,23-174556
804058720161139859,Guest suite in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,821760,,Renfrew-Collingwood,49.23607852513318,-123.05215805333482,Entire home/apt,171,2,17,2023-12-01,2.54,1,74,17,23-206461
805064294975438980,Rental unit in Vancouver · ★4.94 · 2 bedrooms · 2 beds · 1 bath,162673174,,Kitsilano,49.263619059798955,-123.17090161028128,Entire home/apt,229,30,31,2023-06-05,2.96,1,64,31,23-181413
805210484724686406,Condo in Vancouver · ★4.91 · 1 bedroom · 2 beds · 1 bath,496268424,,Downtown,49.28071129249198,-123.12578399164236,Entire home/apt,110,1,67,2023-11-30,6.42,1,32,67,23-172242
805803523356510780,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 private bath,6609569,,Mount Pleasant,49.26719448207034,-123.11055534947792,Private room,225,2,13,2023-10-29,1.48,3,365,13,18-549495
805871537561017538,Guesthouse in Vancouver · ★4.31 · 3 bedrooms · 3 beds · 1 bath,495597904,,Victoria-Fraserview,49.2265715,-123.0540494,Entire home/apt,278,1,13,2023-09-02,1.76,4,355,13,23-171036
805900841554153932,Condo in Vancouver · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,402107709,,Mount Pleasant,49.26522509918779,-123.09066911835804,Private room,90,4,16,2023-11-12,1.55,1,364,16,23-178872
805964097745033311,Rental unit in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,227662329,,Downtown,49.273523753535656,-123.12877955873374,Entire home/apt,125,1,51,2023-12-11,4.68,134,316,51,23-206908
807362713246960948,Rental unit in Vancouver · ★4.58 · 1 bedroom · 1 bed · 1 bath,480478314,,West End,49.285118155481754,-123.13722663752718,Entire home/apt,200,30,12,2023-10-24,1.11,9,57,12,22-001014
808063594672013532,Condo in Vancouver · ★4.79 · 1 bedroom · 1 bed · 1 bath,492030831,,Downtown Eastside,49.28015327838457,-123.10559817552732,Entire home/apt,799,2,42,2023-10-26,4.03,1,272,42,23-170212
808131692199653331,Home in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1 private bath,200467062,,Sunset,49.22555,-123.0875,Private room,57,1,16,2023-11-22,2.51,18,180,16,23-208111
808687948791367566,Home in Vancouver · ★4.95 · 1 bedroom · 1 bed · 1 bath,497100621,,Oakridge,49.230957293642824,-123.10792928991098,Entire home/apt,220,1,21,2023-08-24,2.84,1,40,21,23-177519
